id	prominence	scholarlyOutput	topicCount	name
1385	20	3890	32	Rubber Material Properties and Applications
1386	3	5779	59	Philosophical Foundations of Justice and Ethics
1387	31	6256	33	Health Insurance and Public Policy in Medicine
1388	6	6663	78	Interconnections of Islamic and Jewish Traditions
1389	10	2467	35	Molecular Dynamics and Rheology of Polymer Solutions
1390	4	4613	60	Dynamics of European Foreign Policy and Democracy
1391	5	1298	43	Complexation Mechanisms in Macrocyclic Chemistry
1392	9	5844	49	Islamic Perspectives on Gender and Political Dynamics
1393	33	5211	38	Molten Salt Applications in Energy and Material Recovery
1394	27	4895	37	Gravity-Based Insights into Water Storage Dynamics
1395	7	6277	55	Cultural Dynamics of Music and Identity
1396	4	5448	60	Cultural Intersections in Comparative Literature and Colonialism
1397	37	5879	28	Erosion and Corrosion Dynamics in Material Performance
1398	38	5558	43	Sustainable Pavement Design and Lifecycle Management
1399	6	4717	56	National Identity and Minority Rights in Europe
1400	4	1608	27	Distributed Simulation Framework for Virtual Environments
1401	53	7597	31	Social Innovation in Cooperative and Nonprofit Sectors
1402	35	7372	35	Financialization and Land Rights in Urban Development
1403	10	7079	48	International Investment Law and Arbitration Dynamics
1404	65	7999	32	Optimizing Greenhouse Systems for Enhanced Crop Yield
1405	14	8309	52	New Materialism in Education and Literature
1406	42	6953	37	Ethnopharmacology and Biodiversity in Traditional Medicine
1407	26	4807	32	Aquatic Vegetation Dynamics and Nutrient Management
1408	32	6264	44	Holocene Climate Variability and Geodiversity Insights
1409	21	6058	34	Terrorism, Extremism, and Social Media Dynamics
1410	8	3004	47	Plant Interactions and Insect Dynamics in Ecosystems
1411	1	3759	71	Political Dynamics and Economic Transformations in Revolutionary Contexts
1412	12	3282	29	Schistosomiasis Control and Transmission Dynamics
1413	19	5673	45	Police Legitimacy and Community Engagement Dynamics
1414	8	5670	53	Cultural Identity and Racial Dynamics in Brazil
1415	17	5056	44	Entomopathogenic Fungi in Biological Control Strategies
1416	28	4936	41	Irrigation and Anthocyanin Effects on Potato Yield
1417	21	5529	34	Cultural Dynamics in Urban Development and Creativity
1418	2	5305	70	Intersections of Philosophy and Early Christianity
1419	11	2999	35	Spermatozoa Characteristics and Reproductive Dynamics in Fish
1420	3	4274	44	Philosophical Perspectives on Language and Existence
1421	19	3884	32	Hypersonic Vehicle Design and Performance
1422	8	3333	39	Ethics and Human Rights in Medical Consultation
1423	11	3091	37	Paleomagnetism and Geochronology in Geological Research
1424	7	3831	52	Cultural Dynamics of Religion and Immigration
1425	22	5683	37	Global Governance and Human Rights Responsibilities
1426	28	4977	38	Berberine and Alkaloids in Disease Treatment
1427	27	7379	34	Humor and Anxiety Management in Pediatric Care
1428	8	3665	35	Cosmopolitanism and Civil Society in Development
1429	21	5406	30	Indigenous Health and Alcohol Consumption Challenges
1430	10	3148	42	Rodent Behavior and Ecosystem Dynamics
1431	13	3699	53	Holocene Vegetation Dynamics and Human Influence
1432	1	4364	73	Medieval Canon Law and Social Dynamics
1433	17	3896	30	Integrating Decision Models for Resource Management
1434	24	8169	39	Anthropocene Perspectives on Religion and Climate Change
1435	12	3858	44	Empowering Social Work through Consumer Involvement
1436	4	1786	34	Enhancing Learning through Digital Resource Management
1437	8	2236	43	Biodiversity and Growth Dynamics in Forest Ecosystems
1438	16	3305	28	Creep Behavior and Mechanical Properties of Steel Alloys
1439	47	7153	28	Diversity and Impact of Bees in Ecosystems
1440	11	5501	39	Economic and Environmental Dynamics in Arctic Regions
1441	8	2937	45	Diversity and Ecology of Decapod Crustaceans
1442	26	3972	36	Occupational Dust Exposure and Health Risks
1443	9	3616	33	Rhetoric and Genre Analysis in Academic Writing
1444	12	2558	31	Ciliates and Their Role in Animal Disease Dynamics
1445	16	4201	35	Educational Policy and Its Impact on Achievement
1446	9	1632	29	Innovative Coordination Complexes in Photoluminescence
1447	7	2485	44	Diversity and Evolution of Marine Meiofauna
1448	7	4087	54	Dialect Variation and Sociolinguistic Dynamics in English
1449	7	2974	53	Fossil Flora and Climate Insights from Eocene
1450	24	4700	33	Compassionate Care and Ethical Practice in Nursing
1451	19	4031	36	Sustainable Resource Management in Ethiopian Forests
1452	4	4040	40	Cultural Dynamics in Performance and Anthropology
1453	15	3674	39	Intellectual Property Rights and Digital Piracy Dynamics
1454	10	4481	41	Palestinian Identity and Urban Conflict Dynamics
1455	4	2993	43	Evolutionary Theory and Geological Insights in Science
1456	5	4874	77	Cultural Dynamics and Social Integration in Latin America
1457	10	3457	30	EU Foreign Policy and Security Dynamics
1458	31	4985	34	Taxation Dynamics and Economic Development Strategies
1459	16	4159	33	Conservation and Diversity of Orchid Species
1460	1	2991	49	Modernist Aesthetics and Cultural Intersections
1461	18	4240	36	Empowerment and Rights in Land Management
1462	3	3403	42	Cultural Identities and Historical Narratives in America
1463	6	1830	32	Social Prescribing and Quality in Health Services
1464	16	4206	32	Morphometric Insights into Himalayan Landscape Evolution
1465	9	2654	41	Conservation Strategies for Endangered Australian Species
1466	7	3780	33	Visual Methods in Community Health and Engagement
1467	4	4177	49	The Interplay of Divine Logic and Human Philosophy
1468	4	3312	46	Cultural Landscapes and Political Dynamics in Mesoamerica
1469	5	2349	27	Therapeutic Approaches in Family Mental Health
1470	6	3262	30	Diversity and Evolution of Arachnid Species
1471	6	4519	63	Cultural Connections through Archaeological Metalwork
1472	9	4487	42	Constitutional Dynamics in Democracy and Federalism
1473	1	2689	52	Renaissance Art and Anatomy in Cultural Contexts
1474	2	2812	54	Colonial Legacies and Land Reform in South Africa
1475	5	2791	42	Diversity and Ecology of Ground Beetles in Forests
1476	7	1787	34	Water Quality Management and Wastewater Reclamation
1477	6	3313	37	Islam, Democracy, and Political Dynamics in the Arab World
1478	8	2301	28	Genomic Insights into Freshwater Fish Diversity
1479	9	2687	32	Conservation Strategies for Butterfly Biodiversity
1480	10	2931	30	Occupational Therapy and Quality of Life Enhancement
1481	6	3841	45	Cultural Heritage and Archaeology in Amazonia and beyond
1482	10	4173	41	Indigenous Rights, Autonomy, and Resource Management
1483	3	3564	37	Phenomenology and Human Experience in Philosophy
1484	5	3747	43	Cultural Dynamics in Language and Code-Switching
1485	9	2453	28	Hypnosis and Dissociative Disorders
1486	15	3178	38	Economic Implications of Natural Resource Management
1487	4	4957	40	Cultural Interactions and Architectural Patterns in Islamic Contexts
1488	4	3837	55	Interconnections of Ancient Landscapes and Societies
1489	2	2968	40	Fascism and Colonialism in Italian Urban Identity
1490	14	2938	30	Decentralization and Local Governance Dynamics
1491	4	3872	52	Democracy and Justice in Latin American Politics
1492	5	2950	44	Economic Transformations and Social Dynamics in History
1493	1	2528	44	Intersections of Philosophy, Literature, and Gender
1494	3	3023	38	The Interplay of Theology and Ethics in Christianity
1495	1	2633	48	Jewish Identity and Political Dynamics in Germany
1496	3	3636	42	Buddhist Philosophy and Medical Traditions in Context
1497	3	799	30	Crystal Structures and Phase Transitions in Doped Materials
1498	6	2204	32	Biological Control and Host-Parasitoid Dynamics
1499	0	2107	38	Intersections of Literature, Modernism, and Aesthetics
1500	3	2843	42	Islam, Colonialism, and Archaeological Narratives in Africa
1501	6	3112	33	Eurasian Integration and Political Dynamics in Central Asia
1502	7	4410	35	Cultural Dynamics and Resource Management in Mongolia
1503	2	2779	35	Political Dynamics and Identity in the Balkans
1504	0	1835	36	Cultural and Linguistic Evolution in Medieval England
1505	1	2348	28	Intersections of Science, Travel, and Medicine
1506	1	2685	39	Intersections of Judaism and Christianity in Historical Contexts
1507	10	2378	33	Indigenous Knowledge and Climate Resilience in Arctic Communities
1508	2	2912	46	Linguistic Variations and Pronoun Usage in Spanish
1509	8	3391	26	Cultural Dynamics and Political Borders in South Asia
1510	1	1957	36	Mathematics and Philosophy in Historical Contexts
1511	0	2240	37	Renaissance Philosophy and Political Dynamics
1512	5	2303	37	Cultural Dynamics and Environmental Changes in the Andes
1513	5	2817	30	Language Evolution and Symbolism
1514	3	2423	34	Colonialism, Democracy, and Religious Dynamics in Asia
1515	1	2422	36	Christianity and Imperial Dynamics in Late Rome
1516	2	2658	40	Francoism, Memory, and Spanish Cultural Identity
1517	0	2321	40	Cervantes and the Interplay of Baroque Literature
1518	0	2367	34	Cultural and Linguistic Heritage of Croatia
1519	2	1544	30	Cultural Landscapes and Indigenous Heritage in Australia
1520	1	1792	31	Colonial Legacies and Cultural Identities in France
1521	2	1970	32	Cultural Transformations in Neolithic and Bronze Age Societies
1522	1	1972	35	Ancient Egyptian Archaeology and Culture
1523	0	1722	32	Cultural Intersections in Spanish Literature and Art
1524	2	2982	36	Cultural Insights from Archaeological Burial Practices
1525	1	1983	29	Cultural Insights from Roman and Byzantine Artifacts
1526	3	1746	28	Archaeological Insights into Medieval Material Culture
1527	2	1703	29	Soil Dynamics and Agricultural Innovations in Russia
1528	0	1485	27	Roman Archaeology and Military Influence in Territories
